,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14,Цветность 5,Чистота 5,Цветность 6,Чистота 6,Цветность 7,Чистота 7,Огранка 5,Цветность 8,Чистота 8,Цветность 9,Чистота 9,Цветность 10,Чистота 10
2474,94110030,SOKOLOV,"Для женщин, Для мужчин, Унисекс",3.26 г,Родированное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,2250,4990,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,94110033,SOKOLOV,"Для женщин, Для мужчин, Унисекс",1.97 г,Родированное серебро,925.0,Родирование,Без вставок,,,,,,,,,,,,,,,,1350,2990,38,4 мм,4 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,94110035,SOKOLOV,"Для женщин, Для мужчин, Унисекс",1.87 г,Родированное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1260,2790,38,6 мм,6 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,95010072,SOKOLOV,"Для женщин, Для мужчин, Унисекс",2.53 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1890,4190,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,95010076,SOKOLOV,Для мужчин,9.35 г,Чернёное серебро,925.0,Золочение,Без вставок,,,,,,,,,,,,,,,,7200,15990,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,95010078,SOKOLOV,Для женщин,3.23 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,3600,7990,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,95010079,SOKOLOV,Для женщин,1.62 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1530,3390,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,95010083,SOKOLOV,Для женщин,4.84 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,2700,5990,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,95010096,SOKOLOV,Для женщин,3.66 г,Чернёное серебро,925.0,,Фианит,Круг,15 шт,Чёрный,0.062 карат,,,,,,,,,,,,3600,7990,38,,,,,1 мм,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,95010104,SOKOLOV,Для мужчин,2.13 г,Чернёное серебро,925.0,,Корунд,Круг,1 шт,Красный,0.02 карат,,,,,,,,,,,,2880,6390,38,,,,,"1, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,95010105,SOKOLOV,Для женщин,1.28 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1350,2990,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,95010118,SOKOLOV,Для мужчин,5.11 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,3600,7990,38,4 мм,16 мм,4 мм,16 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,95010120,SOKOLOV,Для мужчин,5.54 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,4720,10490,38,,8 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,95010122,SOKOLOV,Для мужчин,4.63 г,Чернёное серебро,925.0,,Фианит,Круг,20 шт,Чёрный,0.082 карат,,,,,,,,,,,,3600,7990,38,4 мм,9 мм,4 мм,17 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,95010130,SOKOLOV,Для женщин,4.23 г,Чернёное серебро,925.0,,Фианит,Круг,1 шт,Бесцветный,0.043 карат,,,,,,,,,,,,2550,8490,38,9 мм,9 мм,2 мм,2 мм,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,95010134,SOKOLOV,Для женщин,1.29 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1260,2790,38,2 мм,2 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,95010139,SOKOLOV,Для женщин,3.18 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,2520,5590,38,3 мм,11 мм,3 мм,,,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,95010141,SOKOLOV,Для женщин,3.47 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1740,5790,38,2 мм,9 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,95010143,SOKOLOV,Для женщин,1.59 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1080,3590,38,2 мм,5 мм,2 мм,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,95010147,SOKOLOV,Для мужчин,6.2 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,5170,11490,38,3 мм,15 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,95010148,SOKOLOV,Для женщин,4.4 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,3150,6990,38,3 мм,17 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,95010149,SOKOLOV,Для женщин,1.42 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1440,3190,38,2 мм,5 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,95010150,SOKOLOV,Для мужчин,3.93 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,2700,5990,38,3 мм,6 мм,4 мм,,,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,95010151,SOKOLOV,Для женщин,6.99 г,Чернёное серебро,925.0,"Золочение,  Родирование,  Чернение",Фианит,Круг,4 шт,Зелёный,0.261 карат,,,,Фианит,Круг,5 шт,Зелёный,0.414 карат,,,,2970,6590,38,2 мм,16 мм,8 мм,15 мм,2 мм,,Фианит,Круг,9 шт,Зелёный,0.41 карат,,,Фианит,Груша,1 шт,Коричневый,0.244 карат,"2, 25 мм",Фианит,Груша,1 шт,Коричневый,0.313 карат,"1, 75 мм",4 мм * 3 мм,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,95010157,SOKOLOV,Для мужчин,3.82 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,2700,5990,38,,,,,,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,95010159,SOKOLOV,Для мужчин,8.28 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,6520,14490,38,4 мм,17 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,95010160,SOKOLOV,Для мужчин,9.47 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,6520,14490,38,4 мм,20 мм,6 мм,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,95010168,SOKOLOV,Для мужчин,12.12 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,7200,15990,38,4 мм,23 мм,12 мм,23 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,95010169,SOKOLOV,Для женщин,6.19 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,4950,10990,38,9 мм,9 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,95010173,SOKOLOV,Для мужчин,7.51 г,Чернёное серебро,925.0,Золочение,Без вставок,,,,,,,,,,,,,,,,8100,17990,38,7 мм,26 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,95010175,SOKOLOV,Для мужчин,9.22 г,Чернёное серебро,925.0,,Наношпинель,Круг,1 шт,Чёрный,5.818 карат,,,,,,,,,,,,6750,14990,38,4 мм,19 мм,4 мм,,15 мм * 2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,95010176,SOKOLOV,Для мужчин,9.5 г,Чернёное серебро,925.0,,Наношпинель,Квадрат,1 шт,Чёрный,7.654 карат,,,,,,,,,,,,6750,14990,38,5 мм,17 мм,4 мм,,15 мм * 15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,95010182,SOKOLOV,Для женщин,1.46 г,Чернёное серебро,925.0,,Фианит,Круг,1 шт,Бесцветный,0.009 карат,,,,,,,,,,,,1530,3390,38,3 мм,3 мм,1 мм,,1 мм,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,95010183,SOKOLOV,Для женщин,2.6 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1980,6590,38,4 мм,7 мм,4 мм,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,95010185,SOKOLOV,Для женщин,1.39 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,1080,3590,38,2 мм,3 мм,3 мм,,,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,95010186,SOKOLOV,Для женщин,1.26 г,Чернёное серебро,925.0,,Фианит,Круг,1 шт,Бесцветный,0.009 карат,,,,,,,,,,,,1350,2990,38,1 мм,4 мм,2 мм,5 мм,1 мм,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,95010188,SOKOLOV,Для женщин,2.73 г,Чернёное серебро,925.0,,Фианит,Круг,3 шт,Бесцветный,0.05 карат,,,,Фианит,Круг,4 шт,Бесцветный,0.034 карат,,,,2070,4590,38,5 мм,5 мм,2 мм,,"1, 25 мм",SKLV,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,95010189,SOKOLOV,Для женщин,0.78 г,Чернёное серебро,925.0,,Фианит,Круг,1 шт,Бесцветный,0.029 карат,,,,,,,,,,,,1170,2590,38,1 мм,4 мм,2 мм,5 мм,"1, 5 мм",SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,95010197,SOKOLOV,Для мужчин,5.67 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,3300,10990,38,4 мм,8 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,95010198,SOKOLOV,Для мужчин,6.9 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,4050,8990,38,7 мм,8 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,95010202,SOKOLOV,Для женщин,12.88 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,7200,23990,38,13 мм,13 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,95010203,SOKOLOV,Для мужчин,5.5 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,2550,8490,38,3 мм,10 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,95010210,SOKOLOV,Для женщин,7.03 г,Золочёное серебро,925.0,Золочение,Без вставок,,,,,,,,,,,,,,,,6520,14490,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,95010215,SOKOLOV,Для женщин,8.77 г,Серебро,925.0,Эмаль,Эмаль,Круг,1 шт,Бесцветный,0.48 карат,,,,Фианит,,56 шт,,0.476 карат,,,,6070,13490,38,10 мм,10 мм,2 мм,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,95010217,SOKOLOV,Для мужчин,6.48 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,5170,11490,38,4 мм,16 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,95010221,SOKOLOV,Для мужчин,6.17 г,Чернёное серебро,925.0,,Без вставок,,,,,,,,,,,,,,,,3820,8490,39,4 мм,9 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,016958,SOKOLOV,Для женщин,1.66 г,Красное золото,585.0,Родирование,Фианит,Круг,1 шт,Бесцветный,0.846 карат,,,,,,,,,,,,23850,52990,39,,,,,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,017265,SOKOLOV,Для женщин,1.72 г,Красное золото,585.0,Родирование,Без вставок,,,,,,,,,,,,,,,,22500,49990,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,018937,SOKOLOV,Для женщин,2.59 г,Красное золото,585.0,,Без вставок,,,,,,,,,,,,,,,,31500,69990,39,2 мм,6 мм,6 мм,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,018998,SOKOLOV,Для женщин,4.2 г,Красное золото,585.0,,Без вставок,,,,,,,,,,,,,,,,54000,119990,39,2 мм,20 мм,3 мм,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,019191,SOKOLOV,Для женщин,1.16 г,Красное золото,585.0,Родирование,Фианит,Круг,1 шт,Бесцветный,0.201 карат,,,,,,,,,,,,14850,32990,39,1 мм,3 мм,3 мм,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,1011763,SOKOLOV,Для женщин,2.87 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.648 карат,3.0,6.0,,Бриллиант (природный),Круг,5 шт,Бесцветный,0.551 карат,3.0,6.0,,384750,854990,39,,,,,,PREMIUM,Бриллиант (природный),Круг,2 шт,Бесцветный,0.011 карат,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,1011782,SOKOLOV,Для женщин,4.1 г,Белое золото,585.0,,Бриллиант (природный),Круг,23 шт,Бесцветный,0.837 карат,3.0,6.0,,Бриллиант (природный),Круг,23 шт,Бесцветный,0.488 карат,3.0,6.0,,303750,674990,39,3 мм,7 мм,3 мм,21 мм,,PREMIUM,Бриллиант (природный),Круг,2 шт,Бесцветный,0.011 карат,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,1011955,SOKOLOV,Для женщин,2.15 г,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,36 шт,Бесцветный,0.104 карат,2.0,3.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.021 карат,3.0,6.0,,39000,129990,39,2 мм,8 мм,6 мм,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,1012039,SOKOLOV,Для женщин,1.74 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,14 шт,Бесцветный,0.041 карат,2.0,3.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.016 карат,3.0,6.0,,30600,67990,39,2 мм,8 мм,5 мм,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,1012049,SOKOLOV,Для женщин,3.07 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,22 шт,Бесцветный,0.081 карат,2.0,3.0,,,,,,,,,,54000,179990,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,1012186-3,SOKOLOV,Для женщин,2.24 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,3 шт,Бесцветный,0.064 карат,3.0,6.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.046 карат,3.0,6.0,,63000,139990,39,2 мм,8 мм,5 мм,,,,Бриллиант (природный),Круг,6 шт,Бесцветный,0.031 карат,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,1012285-3,SOKOLOV,Для женщин,3.15 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,5 шт,Бесцветный,1.302 карат,3.0,6.0,,,,,,,,,,519750,1154990,39,2 мм,4 мм,4 мм,19 мм,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,1012495,SOKOLOV,Для женщин,1.28 г,Красное золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.115 карат,3.0,6.0,,,,,,,,,,45000,149990,39,2 мм,3 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,1012509,SOKOLOV,Для женщин,2.5 г,Красное золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.15 карат,3.0,6.0,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.086 карат,3.0,6.0,,114750,254990,39,2 мм,3 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,1014124-01,SOKOLOV,Для женщин,1.92 г,Комбинированное золото,585.0,,Бриллиант (природный),Багет,1 шт,Бесцветный,0.093 карат,3.0,5.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.004 карат,2.0,3.0,,72000,159990,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,2011090,SOKOLOV,Для женщин,2.59 г,Белое золото,585.0,Родирование,Сапфир,Круг,1 шт,Синий,0.277 карат,2.0,2.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.005 карат,2.0,3.0,,32000,159990,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,2011170-3,SOKOLOV,Для женщин,2.47 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,22 шт,Бесцветный,0.081 карат,2.0,3.0,,Сапфир,Круг,22 шт,Чёрный,1.01 карат,,,,67500,149990,39,2 мм,6 мм,2 мм,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,2011244-3,SOKOLOV,Для женщин,5.13 г,Белое золото,585.0,,Сапфир,Овал,21 шт,Синий,4.393 карат,2.0,2.0,,Бриллиант (природный),Круг,84 шт,Бесцветный,0.319 карат,3.0,6.0,,238500,529990,39,8 мм,8 мм,3 мм,,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
