,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14
603,791186,SOKOLOV,Для женщин,3.53 г,Красное золото,585,,Жемчуг натуральный,Круг,1 шт,Белый,8.177 карат,,,,,,,,,,,,30600,67990,9,2 мм,11 мм,10 мм,17 мм,11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,017521,SOKOLOV,Для женщин,2.91 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.201 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.245 карат,,,,36000,79990,9,,,,,3 мм,,Фианит,Круг,2 шт,Бесцветный,0.131 карат,,,Фианит,Круг,38 шт,Бесцветный,0.323 карат,"2, 5 мм",,,,,,2 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,018635,SOKOLOV,Для женщин,1.77 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,20250,44990,9,2 мм,4 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,018763,SOKOLOV,Для женщин,1.67 г,Красное золото,585,,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,22500,49990,9,2 мм,5 мм,6 мм,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,715850,SOKOLOV,Для женщин,1.82 г,Красное золото,585,,Раухтопаз,Круг,1 шт,Коричневый,0.44 карат,,,,Раухтопаз,Круг,2 шт,Коричневый,0.668 карат,,,,27000,59990,9,2 мм,5 мм,4 мм,20 мм,5 мм,,Раухтопаз,Круг,2 шт,Коричневый,0.46 карат,,,,,,,,"4, 5 мм",,,,,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,94013166,SOKOLOV,Для женщин,2.15 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,1.455 карат,,,,Фианит,Круг,36 шт,Бесцветный,0.306 карат,,,,2790,6190,9,2 мм,10 мм,4 мм,8 мм,6 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,715720,SOKOLOV,Для женщин,2.03 г,Красное золото,585,,Агат,Маркиз,1 шт,Зелёный,0.739 карат,,,,Корунд,Круг,1 шт,Синий,0.06 карат,,,,24000,79990,9,2 мм,10 мм,4 мм,16 мм,12 мм * 4 мм,,Корунд,Круг,2 шт,Синий,0.09 карат,,,Корунд,Круг,2 шт,Синий,0.062 карат,"2, 25 мм",,,,,,2 мм,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,4010675,SOKOLOV,Для женщин,2.23 г,Комбинированное золото,585,Родирование,Рубин,Круг,1 шт,Красный,0.133 карат,2,2,,Бриллиант (природный),Круг,16 шт,Бесцветный,0.125 карат,2,3,,49500,109990,9,2 мм,5 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,1114050-01,SOKOLOV,Для женщин,3.19 г,Комбинированное золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.021 карат,3,6,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.004 карат,2,3,,58500,129990,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,93010822,SOKOLOV,Для женщин,2.42 г,Золочёное серебро,925,Золочение,Фианит,Круг,1 шт,Бесцветный,1.828 карат,,,,,,,,,,,,1980,4390,9,2 мм,8 мм,6 мм,9 мм,"6, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,94013258,SOKOLOV,Для женщин,2.24 г,Родированное серебро,925,"Золочение,  Родирование",Без вставок,,,,,,,,,,,,,,,,2520,5590,9,2 мм,11 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,94012744,SOKOLOV,Для женщин,1.88 г,Родированное серебро,925,Родирование,Фианит,Круг,15 шт,Бесцветный,0.128 карат,,,,Фианит,Овал,1 шт,Бесцветный,0.673 карат,,,,2070,4590,9,,,,,1 мм,,,,,,,,,,,,,,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,94012785,SOKOLOV,Для женщин,2.37 г,Родированное серебро,925,Родирование,Фианит,Груша,1 шт,Голубой,1.06 карат,,,,Фианит,Круг,1 шт,Голубой,0.12 карат,,,,2880,6390,9,2 мм,13 мм,5 мм,19 мм,7 мм * 5 мм,,,,,,,,,,,,,,"2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,017129,SOKOLOV,Для женщин,0.62 г,Красное золото,585,Родирование,Фианит,Круг,3 шт,Бесцветный,0.05 карат,,,,,,,,,,,,9450,20990,9,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,1012409-3,SOKOLOV,Для женщин,1.45 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,7 шт,Бесцветный,0.148 карат,3,6,,,,,,,,,,44100,97990,9,2 мм,3 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,018791,SOKOLOV,Для женщин,1.39 г,Красное золото,585,,Без вставок,,,,,,,,,,,,,,,,18000,39990,9,2 мм,6 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,1011712,SOKOLOV,Для женщин,2.2 г,Комбинированное золото,585,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3,6,,,,,,,,,,51750,114990,9,2 мм,11 мм,5 мм,11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,1011925,SOKOLOV,Для женщин,1.26 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.008 карат,2,3,,,,,,,,,,26100,57990,9,1 мм,3 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,6014085,SOKOLOV,Для женщин,2.98 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,15 шт,Бесцветный,0.081 карат,2,3,,Танзанит,Круг,1 шт,Сиреневый,0.376 карат,,,,60750,134990,9,,,,,"4, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,1011402,SOKOLOV,Для женщин,1.38 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.035 карат,2,3,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3,6,,38250,84990,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,94012749,SOKOLOV,Для женщин,1.82 г,Родированное серебро,925,,Фианит,Груша,1 шт,Голубой,1.105 карат,,,,Фианит,Груша,2 шт,Голубой,0.65 карат,,,,1800,5990,9,2 мм,10 мм,5 мм,16 мм,9 мм * 6 мм,,,,,,,,,,,,,,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,3010539,SOKOLOV,Для женщин,3.73 г,Красное золото,585,Родирование,Изумруд натуральный,Овал,1 шт,Зелёный,0.31 карат,3,3,,Бриллиант (природный),Круг,6 шт,Бесцветный,0.022 карат,2,3,,78000,259990,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,016005,SOKOLOV,Для мужчин,5.55 г,Красное золото,585,Родирование,Наношпинель,Октагон,1 шт,Чёрный,1.841 карат,,,,Фианит,Круг,1 шт,Бесцветный,0.066 карат,,,,72000,159990,9,,,,,10 мм * 9 мм,,,,,,,,,,,,,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,1011578-2,SOKOLOV,Для женщин,1.59 г,Комбинированное золото,585,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,1 шт,Бесцветный,0.036 карат,3,6,,,,,,,,,,39600,87990,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,716188,SOKOLOV,Для женщин,1.36 г,Красное золото,585,,Агат,Триллион,4 шт,Чёрный,0.711 карат,,,,,,,,,,,,15900,52990,9,2 мм,10 мм,3 мм,10 мм,4 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,83010126,SOKOLOV,Для женщин,3.89 г,Серебро,925,Золочение,Малахит,Круг,1 шт,Зелёный,6.634 карат,,,,,,,,,,,,4500,9990,9,2 мм,15 мм,5 мм,,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,92011234,SOKOLOV,Для женщин,3.29 г,Родированное серебро,925,,Ситалл,Октагон,1 шт,Красный,5.891 карат,,,,,,,,,,,,3150,6990,9,,,,,10 мм * 12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,94012902,SOKOLOV,Для женщин,1.16 г,Родированное серебро,925,Родирование,Фианит,Круг,6 шт,Голубой,0.101 карат,,,,Фианит,Круг,5 шт,Зелёный,0.083 карат,,,,2160,4790,10,,7 мм,2 мм,,"1, 25 мм",,Фианит,Круг,5 шт,Зелёный,0.088 карат,,,Фианит,Круг,6 шт,Сиреневый,0.109 карат,"1, 25 мм",,,,,,"1, 25 мм","1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,017414,SOKOLOV,Для женщин,1.51 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.201 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.033 карат,,,,19350,42990,10,,,,,3 мм,,Фианит,Круг,4 шт,Бесцветный,0.262 карат,,,Фианит,Круг,20 шт,Бесцветный,0.17 карат,"1, 25 мм",,,,,,2 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,018648,SOKOLOV,Для женщин,3.24 г,Красное золото,585,Родирование,Без вставок,,,,,,,,,,,,,,,,40500,89990,10,2 мм,14 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,018734,SOKOLOV,Для женщин,2.17 г,Красное золото,585,,Фианит,Круг,1 шт,Бесцветный,0.029 карат,,,,,,,,,,,,28350,62990,10,2 мм,8 мм,5 мм,,"1, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,1011555,SOKOLOV,Для женщин,1.46 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.036 карат,3,6,,,,,,,,,,35100,77990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,1011844,SOKOLOV,Для женщин,1.66 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.021 карат,3,6,,,,,,,,,,26100,57990,10,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,1012015,SOKOLOV,Для женщин,1.68 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,24 шт,Бесцветный,0.089 карат,2,3,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.008 карат,2,3,,45000,99990,10,2 мм,7 мм,6 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,6014165-3,SOKOLOV,Для женщин,1.95 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,16 шт,Бесцветный,0.046 карат,2,3,,Танзанит,Овал,1 шт,Сиреневый,0.46 карат,,,,54000,119990,10,2 мм,4 мм,3 мм,,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,92012059,SOKOLOV,Для женщин,3.47 г,Родированное серебро,925,,Корунд,Груша,1 шт,Синий,0.84 карат,,,,Корунд,Маркиз,1 шт,Синий,0.268 карат,,,,7650,16990,10,2 мм,14 мм,5 мм,20 мм,7 мм * 5 мм,,Корунд,Маркиз,5 шт,Синий,0.799 карат,,,,,,,,6 мм * 3 мм,,,,,,"5 мм * 2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,92012108,SOKOLOV,Для женщин,0.96 г,Родированное серебро,925,,Гранат,Квадрат,3 шт,Красный,0.19 карат,,,,Гранат,Круг,2 шт,Красный,0.096 карат,,,,2790,6190,10,1 мм,3 мм,2 мм,18 мм,2 мм * 2 мм,,,,,,,,,,,,,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,94012314,SOKOLOV,Для женщин,1.52 г,Родированное серебро,925,Родирование,Фианит,Круг,6 шт,Бесцветный,0.099 карат,,,,,,,,,,,,1890,4190,10,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,94012866,SOKOLOV,Для женщин,1.89 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Бесцветный,1.455 карат,,,,Фианит,Круг,28 шт,Бесцветный,0.238 карат,,,,1800,3990,10,2 мм,9 мм,4 мм,9 мм,6 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,94013259,SOKOLOV,Для детей,1.33 г,Родированное серебро,925,Эмаль,Эмаль,,1 шт,,0.48 карат,,,,,,,,,,,,2070,4590,10,2 мм,12 мм,2 мм,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,95010131,SOKOLOV,Для женщин,3.03 г,Чернёное серебро,925,,Без вставок,,,,,,,,,,,,,,,,1440,4790,10,6 мм,6 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,714681,SOKOLOV,Для женщин,2.09 г,Красное золото,585,,Гранат,Круг,1 шт,Красный,0.111 карат,,,,Гранат,Маркиз,1 шт,Красный,0.103 карат,,,,28350,62990,10,,,,,"2, 75 мм",,Гранат,Маркиз,1 шт,Красный,0.179 карат,,,Гранат,Овал,1 шт,Красный,0.29 карат,4 мм * 2 мм,Раухтопаз,Груша,2 шт,Коричневый,0.355 карат,"5 мм * 2, 5 мм",5 мм * 3 мм,5 мм * 3 мм,Раухтопаз,Маркиз,1 шт,Коричневый,0.126 карат,"5 мм * 2, 5 мм",Ситалл,Груша,2 шт,Зелёный,0.313 карат,4 мм * 3 мм,Ситалл,Овал,1 шт,Зелёный,0.178 карат,4 мм * 3 мм,Ситалл,Овал,1 шт,Зелёный,0.205 карат,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,018957-2,SOKOLOV,Для женщин,1.01 г,Жёлтое золото,585,Родирование,Фианит,Круг,16 шт,Бесцветный,0.136 карат,,,,,,,,,,,,12150,26990,10,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,018446-2,SOKOLOV,Для женщин,1.56 г,Жёлтое золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,18000,39990,10,2 мм,4 мм,3 мм,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,715937-2,SOKOLOV,Для женщин,1.4 г,Жёлтое золото,585,,Топаз,Круг,5 шт,Голубой,0.682 карат,,,,,,,,,,,,14850,32990,10,,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,111058-01,SOKOLOV,"Для женщин, Для мужчин, Унисекс",3.76 г,Красное золото,585,,Фианит,Круг,98 шт,Бесцветный,0.833 карат,,,,,,,,,,,,42750,94990,10,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,111034-01,SOKOLOV,"Для женщин, Для мужчин, Унисекс",4.24 г,Красное золото,585,,Без вставок,,,,,,,,,,,,,,,,51750,114990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,017939,SOKOLOV,Для женщин,1.69 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.131 карат,,,,23850,52990,10,2 мм,6 мм,3 мм,9 мм,4 мм,,,,,,,,,,,,,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,2011048,SOKOLOV,Для женщин,2.24 г,Красное золото,585,Родирование,Сапфир,Овал,1 шт,Синий,0.405 карат,2,2,,Сапфир,Круг,6 шт,Синий,0.035 карат,2,2,,60750,134990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,94012484,SOKOLOV,Для женщин,2.37 г,Родированное серебро,925,,Фианит,Груша,2 шт,Бесцветный,0.493 карат,,,,Фианит,Квадрат,1 шт,Бесцветный,1.05 карат,,,,2610,5790,10,,,,,4 мм * 3 мм,,Фианит,Круг,2 шт,Бесцветный,0.057 карат,,,Фианит,Круг,2 шт,Бесцветный,0.033 карат,5 мм * 5 мм,Фианит,Маркиз,2 шт,Бесцветный,0.704 карат,"1, 5 мм","1, 25 мм",6 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,018700,SOKOLOV,Для женщин,4.27 г,Красное золото,585,Родирование,Фианит,Круг,84 шт,Бесцветный,0.714 карат,,,,,,,,,,,,49500,109990,10,2 мм,16 мм,4 мм,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,1011596,SOKOLOV,Для женщин,2.26 г,Комбинированное золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.11 карат,3,6,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.094 карат,2,3,,99000,219990,10,,,,,,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.044 карат,2,3,Бриллиант (природный),Круг,4 шт,Бесцветный,0.015 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,1011974,SOKOLOV,Для женщин,1.64 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3,6,,,,,,,,,,34500,114990,10,2 мм,5 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,1012189-3,SOKOLOV,Для женщин,4.97 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,95 шт,Бесцветный,0.494 карат,3,6,,,,,,,,,,157500,524990,10,6 мм,10 мм,1 мм,,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,2011025,SOKOLOV,Для женщин,3.39 г,Белое золото,585,Родирование,Сапфир,Круг,24 шт,Синий,0.288 карат,2,2,,Сапфир,Круг,17 шт,Синий,0.1 карат,2,2,,92250,204990,10,,,,,,,Бриллиант (природный),Круг,7 шт,Бесцветный,0.026 карат,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,6014161,SOKOLOV,Для женщин,2.55 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,44 шт,Бесцветный,0.128 карат,2,3,,Танзанит,Квадрат,1 шт,Сиреневый,0.64 карат,,,,78750,174990,10,1 мм,9 мм,5 мм,19 мм,5 мм * 5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,1011735,SOKOLOV,Для женщин,3.03 г,Белое золото,585,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,1 шт,Бесцветный,0.036 карат,3,6,,,,,,,,,,54000,119990,10,2 мм,7 мм,5 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,791192,SOKOLOV,Для женщин,4.84 г,Красное золото,585,,Жемчуг натуральный,Круг,1 шт,Белый,8.177 карат,,,,,,,,,,,,40500,89990,10,2 мм,19 мм,10 мм,11 мм,11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,81010491,SOKOLOV,Для женщин,1.84 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.459 карат,,,,,,,,,,,,22500,49990,10,2 мм,4 мм,6 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,018410-4,SOKOLOV,Для женщин,2.14 г,Красное золото,375,Родирование,Без вставок,,,,,,,,,,,,,,,,18000,39990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,3010523,SOKOLOV,Для женщин,2.16 г,Комбинированное золото,585,,Изумруд натуральный,Овал,1 шт,Зелёный,0.142 карат,3,3,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.023 карат,2,3,,40500,89990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,791192-2,SOKOLOV,Для женщин,4.69 г,Жёлтое золото,585,,Жемчуг натуральный,Круг,1 шт,Белый,8.177 карат,,,,,,,,,,,,40500,89990,10,2 мм,19 мм,10 мм,11 мм,11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,9010119-67,SOKOLOV,Для женщин,3.06 г,Красное золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.85 карат,6,7,,,,,,,,,,490500,1634990,10,2 мм,6 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
